barcode,brand,model,size_canonical,manufacturer_part_number,match,found_product,reason,grounded,source_url
715459353712,hankook,ventus_v12_evo2_k120,225/40R18,1015414,yes,Hankook Ventus V12 evo2 K120 225/40R18,The barcode 715459353712 consistently resolves to Hankook Ventus V12 evo2 K120 225/40R18 with manufacturer part number 1015414 across multiple credible online retailers.,True,https://www.tiresandwheels.com/product/tire/EC222196/Hankook/1015414/Ventus-V12-evo2-K120_715459353712_225+40R18
715459393763,hankook,ventus_s1_evo3_k127b,225/45R18,1019630,yes,Hankook Ventus S1 evo3 K127B 225/45R18 (MPN: 1019630),"The barcode resolves to the exact brand, model, size, and manufacturer part number as recorded.",True,https://www.tiresandwheels.com/product/tire/EC245270/Hankook/1019630/Ventus-S1-evo3-K127B_715459393763_225+45R18
715459380442,hankook,kinergy_gt_h436,225/50R17,1017808,yes,Hankook Kinergy GT H436,"The barcode 715459380442 resolves to Hankook Kinergy GT H436 on multiple credible websites, matching the recorded brand and model.",True,https://www.tiresandwheels.com/product/tire/EC246248/Hankook/1017808/Kinergy-GT-H436_715459380442_225+50R17
715459438938,hankook,ventus_s1_evo3_k127,235/35R19,1023286,yes,Hankook Ventus S1 evo3 K127,Multiple credible sources confirm the barcode 715459438938 corresponds to the Hankook Ventus S1 evo3 K127 tire model. The size 235/35R19 is also listed as an available size for this model.,True,https://www.tiresandwheels.com/product/tire/EC369278/Hankook/1023286/Ventus-S1-evo3-K127_715459438938_235+35R19
715459315451,hankook,ipike_rw11,205/70R15,1011863,yes,Hankook I Pike RW11,"The barcode resolves to Hankook I Pike RW11 tires across multiple credible sources. The brand and model match the recorded product, and the rule allows for size variation.",True,https://www.tiresandwheels.com/product/tire/EC166317/Hankook/1011863/i*Pike-RW11_715459315451_205+70R15
715459217434,hankook,ventus_rh06,255/50R17,1004322,yes,Hankook Ventus ST RH06 255/50R17,The barcode 715459217434 resolves to Hankook Ventus ST RH06 255/50R17 on multiple credible retail websites.,True,https://www.tiresandwheels.com/product/tire/EC8361/Hankook/1004322/Ventus-RH06_715459217434_255+50R17
715459451579,hankook,dynapro_mt2_rt05,LT235/80R17,2021076,uncertain,,"The barcode 715459451579 does not directly resolve to a specific product on the web, nor is it explicitly linked to the recorded brand and model in the search results.",True,https://www.tiresandwheels.com/product/tire/EC369264/Hankook/2021076/Dynapro-MT2-RT05_715459451579_LT235+80R17
715459425440,hankook,kinergy_gt_h436,225/45R17,1017795,yes,Hankook Kinergy GT H436 225/45R17,"The barcode resolves to Hankook Kinergy GT H436 225/45R17, matching the recorded brand, model, and size.",True,https://www.tiresandwheels.com/product/tire/EC246247/Hankook/1017795/Kinergy-GT-H436_715459425440_225+45R17
715459527151,hankook,ventus_s1_evo3_suv_k127a,255/35R21,1027791,parse_error,,,True,https://www.tiresandwheels.com/product/tire/EC369277/Hankook/1027791/Ventus-S1-evo3-SUV-K127A_715459527151_255+35R21
8808956154233,kumho,solus_ta11,225/60R17,2183063,yes,Kumho Solus TA11 225/60R17,"The barcode 8808956154233 consistently resolves to Kumho Solus TA11 225/60R17 across multiple credible sources like Discount Tire, Utires, and TireMart.com.",True,https://www.tiresandwheels.com/product/tire/EC168072/Kumho/2183063/Solus-TA11_8808956154233_225+60R17
715459355037,hankook,kinergy_gt_h436,245/45R19,1015528,yes,Hankook Kinergy GT H436 245/45R19,Barcode resolves to Hankook Kinergy GT H436 245/45R19 on multiple credible retail and manufacturer websites.,True,https://www.tiresandwheels.com/product/tire/EC166339/Hankook/1015528/Kinergy-GT-H436_715459355037_245+45R19
688028932154,ironman,rb_suv,265/65R17,93215,yes,Ironman RB-SUV 265/65R17,The barcode 688028932154 consistently resolves to the Ironman RB-SUV tire with size 265/65R17 and manufacturer part number 93215 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC164940/Ironman/93215/RB-SUV_688028932154_265+65R17
715459355020,hankook,kinergy_gt_h436,225/60R17,1015527,yes,Hankook KINERGY GT H436,The barcode 715459355020 consistently resolves to 'Hankook KINERGY GT H436' across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC166338/Hankook/1015527/Kinergy-GT-H436_715459355020_225+60R17
715459417308,hankook,kinergy_st_h735,205/65R16,1021498,yes,Hankook Kinergy ST H735 205/65R16,The barcode resolves to Hankook Kinergy ST H735 205/65R16 with manufacturer part number 1021498 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC245202/Hankook/1021498/Kinergy-ST-H735_715459417308_205+65R16
715459464258,hankook,kinergy_gt_h436,235/50R17,1025103,yes,Hankook Kinergy GT H436 235/50R17,The barcode 715459464258 consistently resolves to Hankook Kinergy GT H436 235/50R17 with manufacturer part number 1025103 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC246356/Hankook/1025103/Kinergy-GT-H436_715459464258_235+50R17
715459342372,hankook,ventus_v2_concept_h457,225/55R16,1014368,yes,Hankook Ventus V2 Concept2 H457 225/55R16,"The barcode 715459342372 consistently resolves to Hankook Ventus V2 Concept2 H457 225/55R16, and a credible source explicitly lists this barcode and manufacturer part number (1014368) for this product",True,https://www.tiresandwheels.com/product/tire/EC225252/Hankook/1014368/Ventus-V2-Concept-H457_715459342372_225+55R16
715459337989,hankook,dynapro_ht_rh12,P225/75R16,1013911,yes,Hankook Dynapro HT RH12 P225/75R16,The barcode 715459337989 consistently resolves to Hankook Dynapro HT RH12 P225/75R16 with manufacturer part number 1013911 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC166255/Hankook/1013911/DynaPro-HT-RH12_715459337989_P225+75R16
715459459674,hankook,kinergy_st_h735,215/75R14,1024736,yes,Hankook Kinergy ST H735,The barcode 715459459674 consistently resolves to Hankook Kinergy ST H735 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC245219/Hankook/1024736/Kinergy-ST-H735_715459459674_215+75R14
4981910501763,nitto,ridge_grappler,LT285/60R18,217510,parse_error,,,True,https://www.tiresandwheels.com/product/tire/EC189242/Nitto/217510/Ridge-Grappler_4981910501763_LT285+60R18
715459353231,hankook,ventus_v12_evo2_k120,305/25R20,1015374,yes,Hankook Ventus V12 EVO2 K120 305/25R20XL 97Y BSW Tire,"The barcode resolves to the exact brand, model, size, and manufacturer part number as recorded.",True,https://www.tiresandwheels.com/product/tire/EC222189/Hankook/1015374/Ventus-V12-evo2-K120_715459353231_305+25R20
715459359080,hankook,optimo_h426,P215/45R17,1015908,uncertain,Hankook Optimo H426 P215/45R17 (SKU: 1015908),"The recorded product (Hankook Optimo H426 P215/45R17, Manufacturer part number: 1015908) was found on the web. However, no credible source explicitly links the provided barcode (715459359080) to this ",True,https://www.tiresandwheels.com/product/tire/EC246241/Hankook/1015908/Optimo-H426_715459359080_P215+45R17
715459343737,hankook,ventus_s1_noble2_h452,225/55R17,1014507,yes,Hankook Ventus S1 noble2 H452 225/55R17,The barcode resolves to Hankook Ventus S1 noble2 H452 225/55R17 on multiple credible websites.,True,https://www.tiresandwheels.com/product/tire/EC166617/Hankook/1014507/Ventus-S1-Noble2-H452_715459343737_225+55R17
715459332717,hankook,dynapro_atm_rf10,275/55R20,1013373,yes,Hankook Dynapro ATM RF10 275/55R20,"The barcode resolves to Hankook Dynapro ATM RF10 275/55R20, and the manufacturer part number 1013373 is also confirmed by multiple sources.",True,https://www.tiresandwheels.com/product/tire/EC158863/Hankook/1013373/Dynapro-ATm-RF10_715459332717_275+55R20
715459361878,hankook,kinergy_gt_h436,245/40R19,1016168,yes,Hankook Kinergy GT H436 245/40R19,The barcode 715459361878 consistently resolves to the Hankook Kinergy GT H436 tire with the size 245/40R19 and manufacturer part number 1016168 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC166360/Hankook/1016168/Kinergy-GT-H436_715459361878_245+40R19
054137074441,pirelli,cinturato_p7_all_season_plus_2,215/55R17,3593000,yes,"Pirelli Cinturato P7 All Season Plus II 215/55R17 94V BSW Tire, Manufacturer part number: 3593000",The barcode consistently resolves to the specified Pirelli Cinturato P7 All Season Plus II tire with the correct size and manufacturer part number across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC245573/Pirelli/3593000_Cinturato+P7+All+Season+Plus+2_54137074441_215+55R17
715459350629,hankook,ventus_s1_noble2_h452,245/45R18,1015152,yes,Hankook Ventus S1 Noble2 H452,The barcode 715459350629 consistently resolves to the Hankook Ventus S1 Noble2 H452 tire across multiple credible online retailers and the manufacturer's website.,True,https://www.tiresandwheels.com/product/tire/EC296035/Hankook/1015152/Ventus-S1-Noble2-H452_715459350629_245+45R18
715459322404,hankook,dynapro_ht_rh12,P275/55R20,1012466,yes,Hankook Dynapro HT RH12 275/55R20,"The barcode 715459322404 consistently resolves to Hankook Dynapro HT RH12 275/55R20 across multiple credible sources, matching the recorded brand, model, and size.",True,https://www.tiresandwheels.com/product/tire/EC166248/Hankook/1012466/DynaPro-HT-RH12_715459322404_P275+55R20
715459422975,hankook,kinergy_st_h735,215/70R15,1021919,yes,"Hankook Kinergy ST H735 All-Season Touring Tire 215/70R15, Manufacturer Part Number: 1021919","The barcode 715459422975 resolves to Hankook Kinergy ST H735 tires with manufacturer part number 1021919 and size 215/70R15 on multiple credible sources, including Autoplicity and Summit Racing.",True,https://www.tiresandwheels.com/product/tire/EC245217/Hankook/1021919/Kinergy-ST-H735_715459422975_215+70R15
715459521272,hankook,ventus_v2_concept_h457,225/50R18,1027432,yes,Hankook Ventus V2 Concept H457,"The barcode resolves to 'Hankook Ventus V2 Concept H457' on multiple credible sources, matching the recorded brand and model.",True,https://www.tiresandwheels.com/product/tire/EC369302/Hankook/1027432/Ventus-V2-Concept-H457_715459521272_225+50R18
715459521340,hankook,ventus_v2_concept_h457,255/35R18,1027439,yes,"Hankook Ventus V2 Concept2 H457 255/35R18, MPN: 1027439",The barcode 715459521340 consistently resolves to the Hankook Ventus V2 Concept2 H457 tire with size 255/35R18 and manufacturer part number 1027439 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC369295/Hankook/1027439/Ventus-V2-Concept-H457_715459521340_255+35R18
715459417377,hankook,kinergy_st_h735,215/65R17,1021505,yes,Hankook Kinergy ST H735 215/65R17,The barcode 715459417377 consistently resolves to the Hankook Kinergy ST H735 tire with the size 215/65R17 and manufacturer part number 1021505 across multiple credible online retailers.,True,https://www.tiresandwheels.com/product/tire/EC245215/Hankook/1021505/Kinergy-ST-H735_715459417377_215+65R17
715459464289,hankook,kinergy_gt_h436,245/40R18,1025106,yes,Hankook Kinergy GT H436 245/40R18,"The barcode resolves to 'Hankook Kinergy GT H436' with the size '245/40R18' on multiple credible websites, matching the recorded brand, model, and size.",True,https://www.tiresandwheels.com/product/tire/EC246359/Hankook/1025106/Kinergy-GT-H436_715459464289_245+40R18
715459433117,hankook,ventus_s1_noble2_h452,255/45R19,1022739,yes,Hankook Ventus S1 Noble2 (H452) 255/45R19,"The barcode resolves to the exact brand, model, size, and manufacturer part number on multiple credible websites.",True,https://www.tiresandwheels.com/product/tire/EC246299/Hankook/1022739/Ventus-S1-Noble2-H452_715459433117_255+45R19
715459542321,hankook,ipike_rw11,LT245/70R17,2021544,yes,Hankook i*pike RW11 LT245/70R17,"The barcode 715459542321 resolves to Hankook i*pike RW11 LT245/70R17 with manufacturer part number 2021544, matching all recorded product data.",True,https://www.tiresandwheels.com/product/tire/EC375159/Hankook/2021544/i*Pike-RW11_715459542321_LT245+70R17
715459351770,hankook,ventus_v12_evo2_k120,245/45R18,1015250,parse_error,,,True,https://www.tiresandwheels.com/product/tire/EC222204/Hankook/1015250/Ventus-V12-evo2-K120_715459351770_245+45R18
086699796899,michelin,premier_a_s,235/60R18,79689,yes,Michelin Premier A/S,"Barcode 086699796899 resolves to 'Michelin Premier A/S' on multiple credible retail websites, matching the recorded brand and model. The recorded size 235/60R18 is also associated with this product.",True,https://www.tiresandwheels.com/product/tire/EC295805/Michelin/79689/Premier-A/S_86699796899_235+60R18
4981910526605,toyo,open_country_a_t3,LT275/70R18,355520,uncertain,Toyo Open Country A/T III,"The barcode search did not directly link to a specific tire size or manufacturer part number, although the brand and model (Toyo Open Country A/T III) were consistently found in the search results.",True,https://www.tiresandwheels.com/product/tire/EC275057/Toyo/355520/Open-Country-A/T3_4981910526605_LT275+70R18
715459403943,hankook,winter_icept_iz2_w616,215/55R16,1020345,yes,Hankook Winter i*cept iZ2 W616 215/55R16,The barcode 715459403943 consistently resolves to Hankook Winter i*cept iZ2 W616 215/55R16 with manufacturer part number 1020345 across multiple credible online retailers.,True,https://www.tiresandwheels.com/product/tire/EC222158/Hankook/1020345/Winter-i*cept-iZ2-W616_715459403943_215+55R16
715459290758,hankook,ventus_v4_es_h105,175/55R15,1009669,yes,Hankook Ventus V4 ES H105 175/55R15,"The barcode 715459290758 resolves to Hankook Ventus V4 ES H105 175/55R15 with manufacturer part number 1009669, matching all recorded product data.",True,https://www.tiresandwheels.com/product/tire/EC8234/Hankook/1009669/Ventus-V4-es-H105_715459290758_175+55R15
